Function / Call Stack,Effective Time,Spin Time,Overhead Time,Module,Function (Full),Source File,Start Address
H5S_get_simple_extent_ndims,0.0097412,0,0,Simulation2015_x64.exe,H5S_get_simple_extent_ndims,[Unknown],0x1400eb030
CLASS_APPSUBSIDENCE_mp_PRINTSUBSIDENCEHYDROGRAPHS,0.0097371,0,0,Simulation2015_x64.exe,CLASS_APPSUBSIDENCE_mp_PRINTSUBSIDENCEHYDROGRAPHS,Class_AppSubsidence.f90,0x1408c8180
H5S_extent_get_dims,0.0097349,0,0,Simulation2015_x64.exe,H5S_extent_get_dims,[Unknown],0x1400eb0e0
ROOTZONE_V41_mp_ROOTZONE_V41_GETFLOWSTOLAKES,0.0096941,0,0,Simulation2015_x64.exe,ROOTZONE_V41_mp_ROOTZONE_V41_GETFLOWSTOLAKES,RootZone_v41.f90,0x14052e890
H5O_set_shared,0.0096642,0,0,Simulation2015_x64.exe,H5O_set_shared,[Unknown],0x1402309d0
for_len_trim,0.0096612,0,0,Simulation2015_x64.exe,for_len_trim,[Unknown],0x1400159a0
H5_DBLE_INTERFACE_mp_H5DWRITE_DOUBLE_2,0.0096579,0,0,Simulation2015_x64.exe,H5_DBLE_INTERFACE_mp_H5DWRITE_DOUBLE_2,[Unknown],0x1400067c0
TIMESERIESUTILITIES_mp_DAYMONTHYEARTOJULIANDATE,0.0096446,0,0,Simulation2015_x64.exe,TIMESERIESUTILITIES_mp_DAYMONTHYEARTOJULIANDATE,TimeSeriesUtilities.f90,0x1403e2cb0
H5S_hyper_intersect_block,0.0096385,0,0,Simulation2015_x64.exe,H5S_hyper_intersect_block,[Unknown],0x1400f62f0
H5FD_write,0.0096299,0,0,Simulation2015_x64.exe,H5FD_write,[Unknown],0x1401aa100
func@0x1400f94af,0.0096236,0,0,Simulation2015_x64.exe,func@0x1400f94af,[Unknown],0x1400f94af
for_index,0.009623,0,0,Simulation2015_x64.exe,for_index,[Unknown],0x140079c30
H5F_has_feature,0.0095993,0,0,Simulation2015_x64.exe,H5F_has_feature,[Unknown],0x1401abb40
func@0x1400ee7c0,0.0095924,0,0,Simulation2015_x64.exe,func@0x1400ee7c0,[Unknown],0x1400ee7c0
PACKAGE_APPSMALLWATERSHED_mp_READTSDATA,0.0095839,0,0,Simulation2015_x64.exe,PACKAGE_APPSMALLWATERSHED_mp_READTSDATA,Package_AppSmallWatershed.f90,0x1408d7920
CLASS_APPBC_mp_GETBOUNDARYFLOWATELEMENTNODELAYER,0.0095722,0,0,Simulation2015_x64.exe,CLASS_APPBC_mp_GETBOUNDARYFLOWATELEMENTNODELAYER,Class_AppBC.f90,0x1408afe90
func@0x1401c9be0,0.0095562,0,0,Simulation2015_x64.exe,func@0x1401c9be0,[Unknown],0x1401c9be0
H5D__contig_is_space_alloc,0.0095417,0,0,Simulation2015_x64.exe,H5D__contig_is_space_alloc,[Unknown],0x14021f8f0
H5FL_reg_calloc,0.0094742,0,0,Simulation2015_x64.exe,H5FL_reg_calloc,[Unknown],0x14012d510
H5S_extent_release,0.0094625,0,0,Simulation2015_x64.exe,H5S_extent_release,[Unknown],0x1400ea560
func@0x1400ee740,0.0094581,0,0,Simulation2015_x64.exe,func@0x1400ee740,[Unknown],0x1400ee740
GWHYDROGRAPH_mp_ALLHEADOUTFILE_PRINTRESULTS,0.0094491,0,0,Simulation2015_x64.exe,GWHYDROGRAPH_mp_ALLHEADOUTFILE_PRINTRESULTS,GWHydrograph.f90,0x1408c4480
H5D__efl_is_space_alloc,0.0094345,0,0,Simulation2015_x64.exe,H5D__efl_is_space_alloc,[Unknown],0x1400f9a70
